e575dccc71140754dd85beda5965b6a358150309,0100
3259cb20a537c3539f365141fa16b8651163f575,1214
5ea0df5c7a2580d149b68754a35eab0c0dd18cc3,2001
329dc1daf9fb9d5e75d687dd9e0740e1c72796c3,2241
086e894abe76b5dfda9ebd50da351e1d31d29c97,1244
e076fa133a86ed3f260850a0dc70993ae366a649,4242
89446530a6a5fd76d714c1c6ca536a3241040d5f,0444
9c953ca97625afce66aec095486bf6c1c01fd2f6,2212
7b52009b64fd0a2a49e6d8a939753077792b0554,2220
7173e41e4de7a780906fada68a682817c8803ed2,2401
52e1d656cd2ae6967e9063cf3290c80502171ae5,2402
349c0309807f676dfb15970416decba5128e7fed,1400
4396c2d023b9d985eed0ba30fe1c672637c01718,4042
128351137a9c47206c4507dcf2e6fbeeca3a9079,0210
5aab0703d8e504fd68b829dcfed270c59f51e23f,2140
c7332976a95835182f8b2c8a2742e00c52bc65ea,0222
7c7b84eeaec18233e982d101637ab2a4033c6fb0,0020
798f861ee74f6ff83ccbc9c53b419941d0080e50,0004
7a95563490d87e3621966d553f06078acb822585,4011
d494d9da2ea46248e528af1f4da8061e3f245369,4412
323621a00c94f0d1c848e8962af7adbe478f274e,0242
